age,total,male,female
total,125502 ,61019 ,64483 
0,830 ,425 ,405 
1,836 ,427 ,408 
2,871 ,446 ,425 
3,915 ,468 ,446 
4,938 ,480 ,458 
5,978 ,502 ,477 
6,1003 ,514 ,489 
7,1001 ,514 ,488 
8,1026 ,525 ,501 
9,1029 ,527 ,503 
10,1054 ,540 ,514 
11,1063 ,545 ,518 
12,1069 ,548 ,521 
13,1089 ,558 ,531 
14,1083 ,555 ,527 
15,1075 ,550 ,524 
16,1076 ,553 ,524 
17,1119 ,575 ,545 
18,1131 ,582 ,549 
19,1178 ,604 ,574 
20,1221 ,624 ,597 
21,1245 ,638 ,607 
22,1247 ,637 ,610 
23,1274 ,652 ,622 
24,1277 ,654 ,623 
25,1278 ,656 ,622 
26,1293 ,664 ,629 
27,1286 ,661 ,625 
28,1256 ,646 ,610 
29,1266 ,650 ,616 
30,1257 ,644 ,613 
31,1281 ,655 ,626 
32,1302 ,665 ,637 
33,1341 ,685 ,655 
34,1375 ,702 ,674 
35,1393 ,711 ,682 
36,1444 ,734 ,710 
37,1492 ,758 ,735 
38,1511 ,766 ,745 
39,1513 ,766 ,746 
40,1524 ,773 ,751 
41,1592 ,807 ,785 
42,1630 ,827 ,803 
43,1691 ,857 ,834 
44,1735 ,880 ,855 
45,1816 ,921 ,895 
46,1891 ,958 ,933 
47,1997 ,1012 ,985 
48,2032 ,1027 ,1006 
49,1995 ,1009 ,986 
50,1936 ,978 ,959 
51,1876 ,946 ,930 
52,1846 ,929 ,917 
53,1800 ,905 ,895 
54,1794 ,901 ,893 
55,1400 ,700 ,700 
56,1723 ,862 ,861 
57,1613 ,806 ,807 
58,1571 ,784 ,787 
59,1518 ,757 ,762 
60,1486 ,739 ,747 
61,1492 ,739 ,753 
62,1516 ,750 ,766 
63,1471 ,724 ,746 
64,1426 ,701 ,725 
65,1494 ,732 ,762 
66,1535 ,751 ,784 
67,1529 ,744 ,785 
68,1615 ,781 ,834 
69,1696 ,816 ,880 
70,1784 ,854 ,930 
71,1900 ,902 ,998 
72,2065 ,975 ,1089 
73,2024 ,948 ,1075 
74,1899 ,885 ,1014 
75,1167 ,535 ,632 
76,1233 ,555 ,678 
77,1484 ,660 ,823 
78,1409 ,621 ,788 
79,1420 ,619 ,801 
80,1346 ,580 ,766 
81,1188 ,503 ,686 
82,998 ,415 ,584 
83,1024 ,415 ,609 
84,1005 ,398 ,607 
85,955 ,368 ,587 
86,855 ,316 ,538 
87,753 ,268 ,485 
88,694 ,236 ,459 
89,615 ,200 ,415 
90,532 ,163 ,369 
91,445 ,129 ,316 
92,378 ,103 ,275 
93,313 ,80 ,234 
94,236 ,56 ,179 
95,186 ,41 ,145 
96,137 ,28 ,109 
97,97 ,18 ,79 
98,69 ,11 ,58 
99,48 ,7 ,42 
100,85 ,10 ,75 